Tahun,Populasi (Juta),Rata-rata kadar gula per minggu (ons),Total populasi umur >40 (Juta),Harga Gula per 1kg,Total Kasus Diabetes (Juta)
2010,"237,6","1,617","70,73121",12.000,"6,9"
2011,"249,5","1,555","71,441722",12.000,"7,3"
2012,"252,7","1,344","74,370283",12.170,7
2013,"255,9","1,38","77,305066",13.041,"7,6"
2014,"258,9","1,328","79,642965",11.782,9
2015,"261,8","1,441","81,397514",12.570,"9,1"
2016,"264,6","1,581","83,947193",15.715,"9,6"
2017,"266,9","1,462","86,492771",14.378,"10,3"
2018,"267,3","1,433","88,6273",13.010,"10,2"
2019,268,"1,391","91,1508",12.917,"10,7"
2020,"270,2","1,376","93,6748",13.596,"18,69"
2021,"272,6","1,415","96,3164",13.236,"19,47"
2022,"275,7","1,337","99,1444",13.392,"19,5"
2023,"278,6","1,228","101,6368",14.327,"20,4"
2024,"281,6","1,133","104,3365",18.628,20
